pos_A,ratio_peak_speed,pos_D,formation_offensiveness,is_home_int,subbed_int,ratio_shots_top_third,jersey_number,minute_in,ratio_distance,cumul_mean_max_speed
0,1.746928746928747,0,16,1,0,0.0,8,1,0.8569300579340124,6.467
1,1.8033635187580848,0,16,1,1,0.0,9,1,0.9670031802178368,6.552
0,1.8673469387755104,0,16,1,1,0.0,10,1,0.7733572790335306,6.452
0,2.0,1,16,1,1,0.0,14,1,0.7554171558190899,6.903
0,1.7898305084745765,1,16,1,0,0.0,15,1,0.8563894595258662,6.835
0,2.0,0,16,1,1,2.0,16,1,0.9938897313321436,6.65
0,1.9451152579582875,0,16,1,1,0.0,17,1,0.7498479406502369,6.915
0,1.5141463414634146,1,16,1,0,2.0,18,1,0.9886017296245976,7.071
0,1.567701863354037,1,19,0,0,0.0,4,1,0.1793880849269777,6.6
0,2.0,0,19,0,1,0.0,6,1,1.499144078897213,6.767
1,2.0,0,19,0,1,0.0,7,1,0.9190520261180204,6.693
1,2.0,0,19,0,0,0.0,9,1,1.0181765310722763,6.638
0,1.8091872791519437,0,19,0,1,0.0,10,1,1.0317462250153504,6.86
0,2.0,1,19,0,0,0.0,15,1,1.6819329969242047,6.222
0,1.4125412541254123,1,19,0,0,0.0,16,1,0.8764516273849606,6.299
0,1.9886877828054297,0,19,0,1,0.0,17,1,1.1201810838657695,6.705
0,1.6013745704467353,1,19,0,0,0.0,18,1,0.9129061862613596,6.477
1,2.0,0,19,0,1,0.0,20,1,1.052163609619954,6.894
0,2.554945054945055,1,16,1,0,0.0,2,1,0.885934605,6.698
0,2.889810426540285,1,16,1,0,0.0,3,1,0.9388999392305571,6.375
0,2.609336609336609,0,16,1,0,0.0,8,1,0.95297284536745,6.502
1,2.736093143596378,0,16,1,1,0.0,9,1,0.6083390166712462,6.537
0,2.739795918367347,0,16,1,1,0.0,10,1,0.8684749045134219,6.404
0,3.0,1,16,1,1,0.0,14,1,0.974701600113508,6.997
0,3.0,1,16,1,0,0.0,15,1,0.6657416477294004,6.801
0,2.9759450171821307,0,16,1,1,0.0,16,1,0.8918734741064405,6.63
0,2.571899012074643,0,16,1,1,0.0,17,1,0.5494881195874495,6.95
0,2.3765853658536584,1,16,1,0,0.0,18,1,0.9811234861376896,7.037
0,2.698136645962733,1,19,0,0,0.0,4,1,1.098001378682936,6.491
0,3.0,0,19,0,1,0.0,6,1,0.6924611583332667,6.632
1,2.683098591549296,0,19,0,1,0.0,7,1,0.9635726508647128,6.571
1,3.0,0,19,0,0,0.0,9,1,1.0626025514150323,6.796
0,2.918727915194346,0,19,0,1,0.0,10,1,1.0344121387836598,6.838
0,2.315923566878981,1,19,0,0,0.0,15,1,0.3306543061073156,6.149
0,2.118811881188119,1,19,0,0,0.0,16,1,0.6921074880228105,6.278
0,3.0,0,19,0,1,0.0,17,1,1.145690037396153,6.923
0,2.869415807560137,1,19,0,0,0.0,18,1,1.258322967124626,6.548
1,2.9887920298879207,0,19,0,1,0.0,20,1,0.8817259483112069,6.896
0,3.169230769230769,1,16,1,0,2.0,2,1,0.507584329,6.645
0,3.9383886255924176,1,16,1,0,0.0,3,1,0.8690309676702845,6.409
0,3.3169533169533167,0,16,1,0,0.0,8,1,0.2850988934249017,6.512
1,4.0,0,16,1,1,0.0,9,1,1.039803494,6.539
0,4.0,0,16,1,1,4.0,10,1,1.2356185691957875,6.514
0,3.3721973094170403,1,16,1,1,0.0,14,1,0.8109996365493474,6.914
0,3.352750809061489,1,16,1,0,0.0,15,1,0.9208006341957437,6.818
0,3.468499427262314,0,16,1,1,0.0,16,1,1.0646649121047604,6.57
0,3.7980241492864986,0,16,1,1,0.0,17,1,1.047075130797717,6.977
0,3.266341463414634,1,16,1,0,0.0,18,1,0.716597547,6.95
0,3.890683229813664,1,19,0,0,0.0,4,1,1.274237023284351,6.607
0,3.7047970479704793,0,19,0,1,4.0,6,1,1.1703387769185951,6.665
1,3.910798122065728,0,19,0,1,4.0,7,1,1.2804679970615394,6.693
1,3.5593220338983054,0,19,0,0,0.0,9,1,1.3499340328063716,6.84
0,3.3733804475853946,0,19,0,1,4.0,10,1,0.9200349959326444,6.765
0,4.0,1,19,0,0,0.0,15,1,1.9969374551783805,6.4
0,3.485148514851485,1,19,0,0,0.0,16,1,1.4839360553072758,6.46
0,2.6291666666666664,0,19,0,1,0.0,17,1,0.6436884929254182,6.77
0,4.0,1,19,0,0,0.0,18,1,0.9349827910352116,6.454
1,4.0,0,19,0,1,4.0,20,1,0.8967879197167161,6.818
0,4.021978021978023,1,16,1,0,0.0,2,1,0.7668278972825886,6.687
0,3.619668246445498,1,16,1,0,0.0,3,1,0.1334909874080691,6.399
0,0.8,1,16,1,0,0.0,7,64,0.8,7.554
0,3.6179361179361176,0,16,1,0,5.0,8,1,0.096116323,6.492
0,4.449838187702266,1,16,1,0,0.0,15,1,0.6324477880363584,6.788
0,3.7170675830469646,0,16,1,1,0.0,16,1,0.5264815009417262,6.542
0,4.143798024149286,0,16,1,1,0.0,17,1,0.3703070202347907,6.956
0,3.268292682926829,1,16,1,0,0.0,18,1,0.3714171425360796,6.905
1,0.8000000000000002,0,16,1,0,0.0,20,64,0.8,6.3
0,0.8,0,16,1,0,0.0,21,64,0.8,7.387
0,4.086956522,1,19,0,0,0.0,4,1,1.143597421962611,6.595
1,5.0,0,19,0,1,0.0,7,1,0.6863734118473047,6.736
0,0.6666666666666666,0,19,0,0,0.0,8,66,0.6666666666666665,5.983
1,4.242584745762712,0,19,0,0,0.0,9,1,0.6473760673404819,6.881
0,3.545347467608952,0,19,0,1,0.0,10,1,0.1841097228866579,6.721
1,0.6666666666666666,0,19,0,0,0.0,11,66,0.6666666666666666,6.279
0,3.969907407407407,1,19,0,0,0.0,15,1,0.506133562,6.37
0,3.586358635863586,1,19,0,0,0.0,16,1,0.6800171777059203,6.438
0,3.734375,0,19,0,1,0.0,17,1,0.6149675342437763,6.764
0,3.819290465631929,1,19,0,0,0.0,18,1,0.7324989803613613,6.438
0,1.0,1,19,1,0,0.0,2,1,1.0,6.525
0,1.0,1,19,1,0,0.0,3,1,1.0,7.012
0,1.0,1,19,1,0,0.0,4,1,1.0,6.394
0,1.0,1,19,1,1,0.0,5,1,1.0,6.274
0,1.0,0,19,1,0,0.0,6,1,1.0,6.406
0,1.0,0,19,1,0,0.0,7,1,1.0,6.778
0,1.0,0,19,1,0,1.0,8,1,1.0,6.2
1,1.0,0,19,1,1,0.0,11,1,1.0,7.145
1,1.0,0,19,1,1,0.0,17,1,1.0,6.936
1,1.0,0,19,1,1,1.0,21,1,1.0,6.768
0,1.0,1,17,0,0,0.0,2,1,1.0,6.582
0,1.0,1,17,0,0,1.0,3,1,1.0,6.907
0,1.0,1,17,0,0,0.0,4,1,1.0,6.962
0,1.0,1,17,0,0,0.0,5,1,1.0,6.422
0,1.0,0,17,0,1,0.0,7,1,1.0,6.074
0,1.0,0,17,0,0,0.0,8,1,1.0,6.484
1,1.0,0,17,0,1,0.0,9,1,1.0,7.062
0,1.0,0,17,0,0,0.0,10,1,1.0,6.482
0,1.0,0,17,0,1,0.0,19,1,1.0,6.746
0,1.0,0,17,0,0,0.0,20,1,1.0,6.516
0,2.0,1,19,1,0,0.0,2,1,0.8280361150253117,6.862
0,1.5802781289506953,1,19,1,0,0.0,3,1,0.7122646763952323,6.721
0,1.497326203208556,1,19,1,0,0.0,4,1,0.135503507,6.306
0,1.9971264367816093,1,19,1,1,0.0,5,1,0.7693136660604836,6.322
0,1.757085020242915,0,19,1,0,0.0,6,1,0.5268899184798546,6.344
0,1.9285714285714288,0,19,1,0,0.0,7,1,0.8435636769184575,6.795
0,2.0,0,19,1,0,1.0,8,1,0.7492423878012411,6.304
1,1.972192513368984,0,19,1,1,2.0,11,1,1.0966744562286537,7.187
1,1.937575030012005,0,19,1,1,2.0,17,1,1.1235833166804647,6.836
1,2.0,0,19,1,1,1.3333333333333333,21,1,0.8973475950464113,6.889
0,1.974160206718346,1,17,0,0,0.0,2,1,1.120229750778816,6.684
0,2.0,1,17,0,0,0.0,3,1,1.1633911684894334,7.113
0,1.904205607476636,1,17,0,0,0.0,4,1,1.006358104874547,6.999
0,2.0,1,17,0,0,0.0,5,1,1.115664275051765,6.712
0,2.0,0,17,0,1,0.0,7,1,0.98420637,6.159
0,2.0,0,17,0,0,0.0,8,1,0.8201224216861273,6.533
1,1.739524348810872,0,17,0,1,0.0,9,1,0.7059247513334294,6.991
0,2.0,0,17,0,0,0.0,10,1,1.141269302562362,6.817
0,1.7345971563981044,0,17,0,1,0.0,19,1,0.9512881385738152,6.81
0,1.937244201909959,0,17,0,0,0.0,20,1,0.6650509569972658,6.545
0,2.36,1,19,1,0,0.0,2,1,1.0376540470419553,6.749
0,2.571428571428572,1,19,1,0,0.0,3,1,0.9331542594013814,6.641
0,2.570855614973262,1,19,1,0,0.0,4,1,1.2038504199017588,6.228
0,3.0,1,19,1,1,0.0,5,1,1.2285634743875278,6.497
0,3.0,0,19,1,0,0.0,6,1,1.1384693766148697,6.49
0,2.6015625,0,19,1,0,0.0,7,1,1.2203363953281254,6.833
0,3.0,0,19,1,0,0.0,8,1,1.2008481666330093,6.617
1,2.772192513368984,0,19,1,1,0.0,11,1,0.7932776220447453,7.091
1,3.0,0,19,1,1,0.0,17,1,1.1611108194655888,6.933
1,2.7009544008483566,0,19,1,1,0.75,21,1,0.8441202982873065,6.94
0,2.9069767441860463,1,17,0,0,0.0,2,1,1.2848078368073916,6.784
0,2.8769931662870163,1,17,0,0,1.5,3,1,1.1398562178147147,7.007
0,3.0,1,17,0,0,0.0,4,1,0.8936277451098045,6.842
0,2.59245283018868,1,17,0,0,0.0,5,1,0.6156495780469601,6.59
0,3.0,0,17,0,1,0.0,7,1,1.1921963598873866,6.331
0,3.0,0,17,0,0,0.0,8,1,1.041998187128613,6.512
1,3.0,0,17,0,1,0.0,9,1,1.2028497409326424,7.104
